family,r,p,mu,axis,clDice,NSD@0.5,HD95,Betti0
distal_omission,1,0.2,0.0,clDice,0.9575,0.9796,0.0,30.25
distal_omission,1,0.3,0.0,clDice,0.9413,0.9715,0.0,42.75
distal_omission,1,0.5,0.0,clDice,0.9051,0.9527,0.0,67.5
distal_omission,2,0.2,0.0,clDice,0.9299,0.9546,0.0,7.25
distal_omission,2,0.3,0.0,clDice,0.878,0.9228,0.0,14.0
distal_omission,2,0.5,0.0,clDice,0.8142,0.8829,0.5719,21.0
distal_omission,3,0.2,0.0,clDice,0.8763,0.9116,0.0,1.75
distal_omission,3,0.3,0.0,clDice,0.8282,0.8769,4.1833,2.0
distal_omission,3,0.5,0.0,clDice,0.7672,0.8382,10.4499,2.5
distal_truncation,2,0.3,0.0,clDice,0.9907,0.9848,0.0,0.0
distal_truncation,2,0.5,0.0,clDice,0.9836,0.9822,0.0,0.0
distal_truncation,3,0.3,0.0,clDice,0.9863,0.99,0.0,0.0
distal_truncation,3,0.5,0.0,clDice,0.9755,0.9862,0.0,0.0
distal_truncation,4,0.3,0.0,clDice,0.9819,0.9884,0.0,0.0
distal_truncation,4,0.5,0.0,clDice,0.9675,0.9774,0.0,1.0
boundary_drift,2.0,1.0,-1.0,NSD@0.5,0.7834,0.4871,1.0,295.5
boundary_drift,2.0,1.0,-0.5,NSD@0.5,0.85,0.5753,0.9239,245.5
boundary_drift,2.0,1.0,0.0,NSD@0.5,0.9087,0.6097,0.9239,165.75
boundary_drift,2.0,1.0,0.5,NSD@0.5,0.948,0.5771,0.9239,91.25
boundary_drift,2.0,1.0,1.0,NSD@0.5,0.9711,0.5116,0.9239,37.5
